"强化规则ID
===
Id
===
int-cs","等级
===
Level
===
int-cs","需要经验
===
NeedExp
===
int-cs","属性成长0
===
AttrGrowUp0
===
float-cs","属性成长1
===
AttrGrowUp1
===
float-cs","属性成长2
===
AttrGrowUp2
===
float-cs","属性成长3
===
AttrGrowUp3
===
float-cs","属性成长4
===
AttrGrowUp4
===
float-cs","属性成长5
===
AttrGrowUp5
===
float-cs","属性成长6
===
AttrGrowUp6
===
float-cs","属性成长7
===
AttrGrowUp7
===
float-cs","属性成长8
===
AttrGrowUp8
===
float-cs","属性成长9
===
AttrGrowUp9
===
float-cs","属性成长10
===
AttrGrowUp10
===
float-cs","属性成长11
===
AttrGrowUp11
===
float-cs","属性成长12
===
AttrGrowUp12
===
float-cs","属性成长13
===
AttrGrowUp13
===
float-cs","属性成长14
===
AttrGrowUp14
===
float-cs","属性成长15
===
AttrGrowUp15
===
float-cs","属性成长16
===
AttrGrowUp16
===
float-cs","属性成长17
===
AttrGrowUp17
===
float-cs","属性成长18
===
AttrGrowUp18
===
float-cs","属性成长19
===
AttrGrowUp19
===
float-cs","属性成长20
===
AttrGrowUp20
===
float-cs","属性成长21
===
AttrGrowUp21
===
float-cs","属性成长22
===
AttrGrowUp22
===
float-cs","属性成长23
===
AttrGrowUp23
===
float-cs","属性成长24
===
AttrGrowUp24
===
float-cs","属性成长25
===
AttrGrowUp25
===
float-cs","属性成长26
===
AttrGrowUp26
===
float-cs","属性成长27
===
AttrGrowUp27
===
float-cs","属性成长28
===
AttrGrowUp28
===
float-cs","属性成长29
===
AttrGrowUp29
===
float-cs","属性成长30
===
AttrGrowUp30
===
float-cs","属性成长31
===
AttrGrowUp31
===
float-cs"
20005,6,150,77,45,260,0,0,0,9,0,15,8,15,15,26,26,27,27,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
20006,7,162,84,49,286,0,0,0,11,0,17,8,17,17,28,28,29,29,19,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
20007,8,175,91,53,313,0,0,0,11,0,18,9,18,18,30,30,32,32,21,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
20008,9,200,101,57,341,0,0,0,11,0,20,10,20,20,33,33,35,35,22,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
20009,10,225,108,63,366,0,0,0,12,0,21,11,21,21,35,35,37,37,24,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
20010,11,375,130,78,461,0,0,0,18,0,27,14,27,27,46,46,48,48,33,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0
20011,12,750,137,83,488,0,0,0,20,0,29,14,29,29,48,48,50,50,34,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
20012,13,1125,146,87,518,0,0,0,20,0,29,14,29,29,51,51,53,53,36,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
20013,14,1500,154,91,545,0,0,0,21,0,30,15,30,30,53,53,55,55,37,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
20014,15,1875,161,97,571,0,0,0,21,0,32,16,32,32,55,55,58,58,39,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
20015,16,2375,168,101,599,0,0,0,21,0,33,17,33,33,58,58,61,61,40,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
20016,17,2875,178,105,627,0,0,0,23,0,35,17,35,35,60,60,63,63,42,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
20017,18,3625,185,109,656,0,0,0,23,0,36,18,36,36,63,63,66,66,43,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
20018,19,4375,192,113,687,0,0,0,24,0,38,19,38,38,65,65,68,68,45,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
20019,20,5125,202,119,714,0,0,0,24,0,39,20,39,39,68,68,71,71,46,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
20020,21,6125,238,147,917,0,0,0,38,0,50,25,50,50,87,87,90,90,63,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
20021,22,7375,245,151,946,0,0,0,38,0,51,26,51,51,89,89,92,92,65,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
20022,23,8875,254,155,975,0,0,0,39,0,53,26,53,53,92,92,95,95,66,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
20023,24,10625,262,160,1004,0,0,0,39,0,54,27,54,54,94,94,97,97,68,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
20024,25,12625,269,164,1032,0,0,0,41,0,56,28,56,56,96,96,100,100,69,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
20025,26,14875,278,169,1064,0,0,0,41,0,57,29,57,57,99,99,103,103,71,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
20026,27,17375,286,174,1094,0,0,0,41,0,59,29,59,59,101,101,105,105,72,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
20027,28,20125,293,178,1124,0,0,0,42,0,60,30,60,60,104,104,108,108,74,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
20028,29,23125,302,182,1155,0,0,0,42,0,62,31,62,62,106,106,111,111,75,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
20029,30,26375,310,186,1183,0,0,0,44,0,63,32,63,63,109,109,113,113,77,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0
20030,31,29875,362,228,1554,0,0,0,63,0,78,39,78,78,137,137,141,141,102,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
20031,32,33875,370,232,1585,0,0,0,65,0,80,40,80,80,140,140,143,143,103,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
20032,33,38125,379,237,1620,0,0,0,65,0,81,41,81,81,142,142,146,146,105,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
20033,34,42625,386,241,1652,0,0,0,65,0,83,41,83,83,145,145,149,149,107,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0
20034,35,47375,396,246,1682,0,0,0,66,0,84,42,84,84,147,147,152,152,108,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
20035,36,52375,403,251,1713,0,0,0,66,0,86,43,86,86,150,150,154,154,110,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
20036,37,57625,413,255,1746,0,0,0,68,0,87,44,87,87,152,152,157,157,111,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
20037,38,63125,420,259,1778,0,0,0,68,0,89,44,89,89,155,155,160,160,113,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
20038,39,68875,427,265,1815,0,0,0,69,0,90,45,90,90,157,157,162,162,114,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
20039,40,75125,437,269,1846,0,0,0,69,0,92,46,92,92,160,160,165,165,116,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0
20040,41,82000,506,323,2463,0,0,0,96,0,113,56,113,113,198,198,202,202,149,0,0,0,0,0,0,0,0,27,47,0,0,0,0,0
20041,42,89500,516,329,2497,0,0,0,98,0,114,57,114,114,201,201,205,205,151,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
20042,43,97625,523,333,2531,0,0,0,98,0,116,58,116,116,203,203,208,208,152,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
20043,44,106375,533,337,2566,0,0,0,99,0,117,59,117,117,206,206,211,211,154,0,0,0,0,0,0,0,0,28,48,0,0,0,0,0
20044,45,115125,540,343,2599,0,0,0,99,0,119,59,119,119,209,209,213,213,155,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
20045,46,124500,550,347,2639,0,0,0,101,0,120,60,120,120,211,211,216,216,157,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
20046,47,134500,557,351,2675,0,0,0,101,0,122,61,122,122,214,214,219,219,159,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
20047,48,145125,566,357,2710,0,0,0,102,0,123,62,123,123,216,216,221,221,160,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
20048,49,156375,574,361,2746,0,0,0,102,0,125,62,125,125,219,219,224,224,162,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0
20049,50,168875,583,365,2781,0,0,0,102,0,126,63,126,126,221,221,227,227,163,0,0,0,0,0,0,0,0,29,50,0,0,0,0,0
20050,51,183875,672,437,3749,0,0,0,138,0,152,76,152,152,271,271,275,275,205,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
20051,52,201375,682,441,3788,0,0,0,140,0,153,77,153,153,274,274,278,278,207,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
20052,53,221375,689,445,3833,0,0,0,140,0,155,77,155,155,276,276,280,280,209,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
20053,54,243875,698,451,3872,0,0,0,141,0,156,78,156,156,279,279,283,283,210,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
20054,55,268875,708,455,3909,0,0,0,141,0,158,79,158,158,282,282,286,286,212,0,0,0,0,0,0,0,0,39,67,0,0,0,0,0
20055,56,306375,715,461,3949,0,0,0,143,0,159,80,159,159,284,284,289,289,213,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
20056,57,356375,725,465,3989,0,0,0,143,0,162,81,162,162,287,287,292,292,215,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
20057,58,418875,734,469,4029,0,0,0,144,0,164,82,164,164,290,290,295,295,216,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
20058,59,493875,742,475,4076,0,0,0,144,0,164,82,164,164,292,292,298,298,218,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
20059,60,581375,751,479,4114,0,0,0,144,0,165,83,165,165,295,295,301,301,220,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
20060,61,668875,864,566,5584,0,0,0,189,0,198,99,198,198,357,357,360,360,271,0,0,0,0,0,0,0,0,50,88,0,0,0,0,0
20061,62,756375,871,571,5628,0,0,0,191,0,201,101,201,201,360,360,363,363,273,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
20062,63,843875,881,575,5672,0,0,0,191,0,203,101,203,203,362,362,366,366,275,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
20063,64,931375,890,581,5717,0,0,0,192,0,204,102,204,204,365,365,369,369,276,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
20064,65,1018875,898,585,5760,0,0,0,192,0,206,103,206,206,368,368,372,372,278,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
20065,66,1106375,907,591,5813,0,0,0,194,0,207,104,207,207,371,371,375,375,279,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
20066,67,1193875,917,595,5859,0,0,0,194,0,209,104,209,209,373,373,378,378,281,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
20067,68,1281375,926,601,5905,0,0,0,195,0,210,105,210,210,376,376,381,381,283,0,0,0,0,0,0,0,0,52,90,0,0,0,0,0
20068,69,1368875,934,605,5952,0,0,0,195,0,212,106,212,212,379,379,384,384,284,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
20069,70,1456375,943,610,5996,0,0,0,197,0,213,107,213,213,382,382,387,387,286,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
20070,71,1543875,1061,701,7836,0,0,0,243,0,248,124,248,248,447,447,449,449,339,0,0,0,0,0,0,0,0,63,110,0,0,0,0,0
20071,72,1631375,1070,706,7887,0,0,0,243,0,249,125,249,249,449,449,452,452,341,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
20072,73,1718875,1080,711,7948,0,0,0,245,0,251,125,251,251,452,452,455,455,342,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
20073,74,1806375,1090,715,7999,0,0,0,245,0,252,126,252,252,455,455,459,459,344,0,0,0,0,0,0,0,0,64,111,0,0,0,0,0
20074,75,1893875,1099,721,8049,0,0,0,246,0,254,127,254,254,458,458,462,462,346,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
20075,76,1981375,1109,727,8101,0,0,0,246,0,255,128,255,255,461,461,465,465,347,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
20076,77,2068875,1118,731,8154,0,0,0,248,0,257,128,257,257,464,464,468,468,349,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
20077,78,2156375,1126,736,8207,0,0,0,248,0,258,129,258,258,467,467,471,471,351,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
20078,79,2243875,1135,741,8270,0,0,0,249,0,260,130,260,260,469,469,474,474,352,0,0,0,0,0,0,0,0,64,113,0,0,0,0,0
20079,80,2331375,1145,746,8320,0,0,0,249,0,261,131,261,261,472,472,477,477,354,0,0,0,0,0,0,0,0,65,113,0,0,0,0,0
20080,81,2418875,1270,841,10572,0,0,0,299,0,297,149,297,297,540,540,543,543,408,0,0,0,0,0,0,0,0,76,132,0,0,0,0,0
20081,82,2506375,1279,846,10631,0,0,0,299,0,299,149,299,299,543,543,546,546,410,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
20082,83,2593875,1289,851,10691,0,0,0,300,0,302,151,302,302,546,546,549,549,411,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
20083,84,2681375,1298,857,10750,0,0,0,300,0,303,152,303,303,549,549,552,552,413,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
20084,85,2768875,1308,861,10807,0,0,0,302,0,305,152,305,305,552,552,555,555,415,0,0,0,0,0,0,0,0,76,134,0,0,0,0,0
20085,86,2856375,1318,867,10879,0,0,0,302,0,306,153,306,306,555,555,558,558,417,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
20086,87,2943875,1327,872,10939,0,0,0,303,0,308,154,308,308,558,558,562,562,418,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
20087,88,3031375,1337,876,11000,0,0,0,303,0,309,155,309,309,561,561,565,565,420,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
20088,89,3118875,1346,882,11061,0,0,0,305,0,311,155,311,311,564,564,568,568,422,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
20089,90,3206375,1356,888,11120,0,0,0,306,0,312,156,312,312,567,567,571,571,424,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
20090,91,3293875,1486,986,13827,0,0,0,356,0,350,175,350,350,638,638,640,640,479,0,0,0,0,0,0,0,0,88,154,0,0,0,0,0
20091,92,3381375,1495,991,13895,0,0,0,357,0,351,176,351,351,641,641,643,643,481,0,0,0,0,0,0,0,0,88,155,0,0,0,0,0
20092,93,3468875,1505,997,13976,0,0,0,357,0,353,176,353,353,644,644,646,646,483,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
20093,94,3556375,1514,1001,14044,0,0,0,359,0,354,177,354,354,647,647,650,650,484,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
20094,95,3643875,1526,1007,14110,0,0,0,360,0,357,179,357,357,650,650,653,653,486,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
20095,96,3731375,1536,1012,14179,0,0,0,360,0,359,179,359,359,653,653,656,656,488,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
20096,97,3818875,1546,1018,14249,0,0,0,362,0,360,180,360,360,656,656,659,659,490,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
20097,98,3906375,1555,1023,14319,0,0,0,362,0,362,181,362,362,659,659,662,662,491,0,0,0,0,0,0,0,0,89,157,0,0,0,0,0
20098,99,3993875,1565,1028,14402,0,0,0,363,0,363,182,363,363,662,662,666,666,493,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
20099,100,4081375,1574,1033,14469,0,0,0,363,0,365,182,365,365,665,665,669,669,495,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
#廉颇,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,1,87,26,51,183,0,4,0,0,0,5,5,5,3,14,14,14,14,10,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
21001,2,100,30,60,218,0,4,0,0,0,6,6,6,3,16,16,17,17,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
21002,3,112,35,69,253,0,5,0,0,0,7,7,7,4,19,19,19,19,13,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
21003,4,125,40,78,290,0,5,0,0,0,8,8,8,4,21,21,22,22,15,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
21004,5,137,46,87,323,0,6,0,0,0,9,9,9,5,23,23,24,24,16,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
21005,6,150,51,96,364,0,6,0,0,0,10,10,10,5,26,26,27,27,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
21006,7,162,56,105,400,0,7,0,0,0,11,11,11,6,28,28,29,29,19,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
21007,8,175,61,114,438,0,7,0,0,0,12,12,12,6,30,30,32,32,21,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
21008,9,200,67,123,477,0,7,0,0,0,13,13,13,7,33,33,35,35,22,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
21009,10,225,72,135,512,0,8,0,0,0,14,14,14,7,35,35,37,37,24,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
21010,11,375,86,168,645,0,12,0,0,0,18,18,18,9,46,46,48,48,33,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0
21011,12,750,91,177,683,0,13,0,0,0,19,19,19,10,48,48,50,50,34,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
21012,13,1125,98,186,725,0,13,0,0,0,19,19,19,10,51,51,53,53,36,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
21013,14,1500,102,195,763,0,14,0,0,0,20,20,20,10,53,53,55,55,37,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
21014,15,1875,107,207,799,0,14,0,0,0,21,21,21,11,55,55,58,58,39,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
21015,16,2375,112,216,839,0,14,0,0,0,22,22,22,11,58,58,61,61,40,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
21016,17,2875,118,225,878,0,15,0,0,0,23,23,23,12,60,60,63,63,42,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
21017,18,3625,123,234,918,0,15,0,0,0,24,24,24,12,63,63,66,66,43,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
21018,19,4375,128,243,962,0,16,0,0,0,25,25,25,13,65,65,68,68,45,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
21019,20,5125,134,255,1000,0,16,0,0,0,26,26,26,13,68,68,71,71,46,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
21020,21,6125,158,315,1284,0,25,0,0,0,33,33,33,17,87,87,90,90,63,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
21021,22,7375,163,324,1324,0,25,0,0,0,34,34,34,17,89,89,92,92,65,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
21022,23,8875,170,333,1365,0,26,0,0,0,35,35,35,18,92,92,95,95,66,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
21023,24,10625,174,342,1406,0,26,0,0,0,36,36,36,18,94,94,97,97,68,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
21024,25,12625,179,351,1445,0,27,0,0,0,37,37,37,19,96,96,100,100,69,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
21025,26,14875,186,363,1490,0,27,0,0,0,38,38,38,19,99,99,103,103,71,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
21026,27,17375,190,372,1532,0,27,0,0,0,39,39,39,20,101,101,105,105,72,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
21027,28,20125,195,381,1574,0,28,0,0,0,40,40,40,20,104,104,108,108,74,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
21028,29,23125,202,390,1617,0,28,0,0,0,41,41,41,21,106,106,111,111,75,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
21029,30,26375,206,399,1656,0,29,0,0,0,42,42,42,21,109,109,113,113,77,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0
21030,31,29875,242,489,2176,0,42,0,0,0,52,52,52,26,137,137,141,141,102,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
21031,32,33875,246,498,2219,0,43,0,0,0,53,53,53,27,140,140,143,143,103,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
21032,33,38125,253,507,2268,0,43,0,0,0,54,54,54,27,142,142,146,146,105,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
21033,34,42625,258,516,2313,0,43,0,0,0,55,55,55,28,145,145,149,149,107,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0
21034,35,47375,264,528,2355,0,44,0,0,0,56,56,56,28,147,147,152,152,108,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
21035,36,52375,269,537,2398,0,44,0,0,0,57,57,57,29,150,150,154,154,110,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
21036,37,57625,275,546,2444,0,45,0,0,0,58,58,58,29,152,152,157,157,111,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
21037,38,63125,280,555,2489,0,45,0,0,0,59,59,59,30,155,155,160,160,113,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
21038,39,68875,285,567,2541,0,46,0,0,0,60,60,60,30,157,157,162,162,114,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
21039,40,75125,291,576,2584,0,46,0,0,0,61,61,61,31,160,160,165,165,116,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0
21040,41,82000,338,693,3448,0,64,0,0,0,75,75,75,38,198,198,202,202,149,0,0,0,0,0,0,0,0,27,47,0,0,0,0,0
21041,42,89500,344,705,3496,0,65,0,0,0,76,76,76,38,201,201,205,205,151,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
21042,43,97625,349,714,3543,0,65,0,0,0,77,77,77,39,203,203,208,208,152,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
21043,44,106375,355,723,3592,0,66,0,0,0,78,78,78,39,206,206,211,211,154,0,0,0,0,0,0,0,0,28,48,0,0,0,0,0
21044,45,115125,360,735,3639,0,66,0,0,0,79,79,79,40,209,209,213,213,155,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
21045,46,124500,366,744,3695,0,67,0,0,0,80,80,80,40,211,211,216,216,157,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
21046,47,134500,371,753,3745,0,67,0,0,0,81,81,81,41,214,214,219,219,159,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
21047,48,145125,378,765,3794,0,68,0,0,0,82,82,82,41,216,216,221,221,160,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
21048,49,156375,382,774,3844,0,68,0,0,0,83,83,83,42,219,219,224,224,162,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0
21049,50,168875,389,783,3893,0,68,0,0,0,84,84,84,42,221,221,227,227,163,0,0,0,0,0,0,0,0,29,50,0,0,0,0,0
21050,51,183875,448,936,5249,0,92,0,0,0,101,101,101,51,271,271,275,275,205,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
21051,52,201375,454,945,5303,0,93,0,0,0,102,102,102,51,274,274,278,278,207,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
21052,53,221375,459,954,5366,0,93,0,0,0,103,103,103,52,276,276,280,280,209,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
21053,54,243875,466,966,5421,0,94,0,0,0,104,104,104,52,279,279,283,283,210,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
21054,55,268875,472,975,5473,0,94,0,0,0,105,105,105,53,282,282,286,286,212,0,0,0,0,0,0,0,0,39,67,0,0,0,0,0
21055,56,306375,477,987,5529,0,95,0,0,0,106,106,106,53,284,284,289,289,213,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
21056,57,356375,483,996,5585,0,95,0,0,0,108,108,108,54,287,287,292,292,215,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
21057,58,418875,490,1005,5641,0,96,0,0,0,109,109,109,55,290,290,295,295,216,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
21058,59,493875,494,1017,5706,0,96,0,0,0,109,109,109,55,292,292,298,298,218,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
21059,60,581375,501,1026,5760,0,96,0,0,0,110,110,110,55,295,295,301,301,220,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
21060,61,668875,576,1212,7818,0,126,0,0,0,132,132,132,66,357,357,360,360,271,0,0,0,0,0,0,0,0,50,88,0,0,0,0,0
21061,62,756375,581,1224,7879,0,127,0,0,0,134,134,134,67,360,360,363,363,273,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
21062,63,843875,587,1233,7941,0,127,0,0,0,135,135,135,68,362,362,366,366,275,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
21063,64,931375,594,1245,8004,0,128,0,0,0,136,136,136,68,365,365,369,369,276,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
21064,65,1018875,598,1254,8064,0,128,0,0,0,137,137,137,69,368,368,372,372,278,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
21065,66,1106375,605,1266,8138,0,129,0,0,0,138,138,138,69,371,371,375,375,279,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
21066,67,1193875,611,1275,8203,0,129,0,0,0,139,139,139,70,373,373,378,378,281,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
21067,68,1281375,618,1287,8267,0,130,0,0,0,140,140,140,70,376,376,381,381,283,0,0,0,0,0,0,0,0,52,90,0,0,0,0,0
21068,69,1368875,622,1296,8333,0,130,0,0,0,141,141,141,71,379,379,384,384,284,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
21069,70,1456375,629,1308,8394,0,131,0,0,0,142,142,142,71,382,382,387,387,286,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
21070,71,1543875,707,1503,10970,0,162,0,0,0,165,165,165,83,447,447,449,449,339,0,0,0,0,0,0,0,0,63,110,0,0,0,0,0
21071,72,1631375,714,1512,11042,0,162,0,0,0,166,166,166,83,449,449,452,452,341,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
21072,73,1718875,720,1524,11127,0,163,0,0,0,167,167,167,84,452,452,455,455,342,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
21073,74,1806375,726,1533,11199,0,163,0,0,0,168,168,168,84,455,455,459,459,344,0,0,0,0,0,0,0,0,64,111,0,0,0,0,0
21074,75,1893875,733,1545,11269,0,164,0,0,0,169,169,169,85,458,458,462,462,346,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
21075,76,1981375,739,1557,11341,0,164,0,0,0,170,170,170,85,461,461,465,465,347,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
21076,77,2068875,746,1566,11416,0,165,0,0,0,171,171,171,86,464,464,468,468,349,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
21077,78,2156375,750,1578,11490,0,165,0,0,0,172,172,172,86,467,467,471,471,351,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
21078,79,2243875,757,1587,11578,0,166,0,0,0,173,173,173,87,469,469,474,474,352,0,0,0,0,0,0,0,0,64,113,0,0,0,0,0
21079,80,2331375,763,1599,11648,0,166,0,0,0,174,174,174,87,472,472,477,477,354,0,0,0,0,0,0,0,0,65,113,0,0,0,0,0
21080,81,2418875,846,1803,14801,0,199,0,0,0,198,198,198,99,540,540,543,543,408,0,0,0,0,0,0,0,0,76,132,0,0,0,0,0
21081,82,2506375,853,1812,14883,0,199,0,0,0,199,199,199,100,543,543,546,546,410,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
21082,83,2593875,859,1824,14967,0,200,0,0,0,201,201,201,101,546,546,549,549,411,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
